key,device,d_lambda,radio,symmetry,parameters_fitted_to,nominal_mean_row_tv,nominal_mean_row_js_nats,nominal_flattened_corr,cal_mean_row_tv,cal_mean_row_js_nats,cal_flattened_corr,cal_map_bin_agreement,nonempty_phi_rows
SDRDEVICE.PLUTO_0.48400,PLUTO,0.484,r1,sym,r/nosym,0.4491416817,0.1844175068,0.6770926478,0.2419025302,0.05713304348,0.8984085763,0.3538461538,65
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,r,nosym,r/nosym,0.5594069936,0.2545244781,0.3522138796,0.2445806891,0.05854331935,0.7747797419,0.07692307692,65
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,r,sym,r/nosym,0.3474073631,0.1139805222,0.5310715747,0.1663523976,0.03330345797,0.740858029,0.1538461538,65
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,r0,nosym,r/nosym,0.5994620236,0.2812244801,0.4077458712,0.4050117138,0.1440323143,0.6554288435,0.1384615385,65
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,r0,sym,r/nosym,0.4076802771,0.1522947011,0.5677192705,0.2465705997,0.06018039991,0.8250186667,0.1846153846,65
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,r1,nosym,r/nosym,0.6744925158,0.3384811016,0.2885345996,0.3844730901,0.1335347277,0.6931828681,0.04615384615,65
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,r1,sym,r/nosym,0.364358901,0.124285102,0.5205147708,0.2695517798,0.06799110945,0.6214832863,0.1230769231,65
SDRDEVICE.PLUTO_0.48684,PLUTO,0.48684,r,nosym,r/nosym,0.410558838,0.1570162909,0.624237764,0.2481661523,0.05578291953,0.8040261686,0.1692307692,65
SDRDEVICE.PLUTO_0.48684,PLUTO,0.48684,r,sym,r/nosym,0.3498449455,0.1190053363,0.6998175421,0.1689482381,0.02641740244,0.9100282031,0.2,65
SDRDEVICE.PLUTO_0.48684,PLUTO,0.48684,r0,nosym,r/nosym,0.4411540651,0.1787073738,0.5168021068,0.330988062,0.09430403185,0.6525357465,0.01538461538,65
SDRDEVICE.PLUTO_0.48684,PLUTO,0.48684,r0,sym,r/nosym,0.3329131132,0.1083676186,0.6695901399,0.2447345543,0.04973495322,0.7902144774,0.1692307692,65
SDRDEVICE.PLUTO_0.48684,PLUTO,0.48684,r1,nosym,r/nosym,0.5513936128,0.2507038658,0.5430238319,0.385419271,0.1305545712,0.7290142042,0.2153846154,65
SDRDEVICE.PLUTO_0.48684,PLUTO,0.48684,r1,sym,r/nosym,0.4790685364,0.1943739999,0.6274437627,0.2684056411,0.06687584392,0.8712561014,0.2307692308,65
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,r,nosym,r/nosym,0.5839183478,0.2600371342,0.3408414632,0.2768003287,0.07079663008,0.7750885309,0.1692307692,65
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,r,sym,r/nosym,0.2994191331,0.07595709256,0.5999046907,0.2012632335,0.03736189346,0.7823166063,0.2923076923,65
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,r0,nosym,r/nosym,0.6099274921,0.2856938035,0.3635367025,0.391755295,0.1352598865,0.6718612729,0.1846153846,65
